city_slug,name,category,type,subtypes,audiences,occasions,lat,lng,address,website,reservation_url,price_level,budget,indoor_outdoor,energy_level,family_friendly,nightlife_fit,duration_min,manual_boost,data_confidence,source_primary,import_batch,notes
berlin-berlin,BERLIN_ZOO_REAL_1,activity,zoo,"{zoo}","{family,tourism}","{family,tourism}",,,,,,2,medium,outdoor,medium,true,false,150,15,0.99,manual_seed,berlin_v2_gaps,"real_zoo_required"
berlin-berlin,BERLIN_ZOO_REAL_2,activity,zoo,"{zoo}","{family,tourism}","{family,tourism}",,,,,,2,medium,outdoor,medium,true,false,150,14,0.98,manual_seed,berlin_v2_gaps,"real_zoo_required"
berlin-berlin,BERLIN_AQUARIUM_REAL_1,activity,aquarium,"{aquarium}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,120,15,0.99,manual_seed,berlin_v2_gaps,"real_aquarium_required"
berlin-berlin,BERLIN_AQUARIUM_REAL_2,activity,aquarium,"{aquarium}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,120,14,0.98,manual_seed,berlin_v2_gaps,"real_aquarium_required"
berlin-berlin,BERLIN_VIEWPOINT_REAL_1,culture,viewpoint,"{viewpoint,landmark}","{date,tourism}","{date,tourism}",,,,,,0,free,outdoor,low,false,false,45,13,0.98,manual_seed,berlin_v2_gaps,"real_viewpoint_required"
berlin-berlin,BERLIN_VIEWPOINT_REAL_2,culture,viewpoint,"{viewpoint,romantic_spot}","{date,tourism}","{date,tourism}",,,,,,0,free,outdoor,low,false,false,45,12,0.97,manual_seed,berlin_v2_gaps,"real_viewpoint_required"
berlin-berlin,BERLIN_VIEWPOINT_REAL_3,culture,viewpoint,"{viewpoint,romantic_spot,landmark}","{date,tourism}","{date,tourism}",,,,,,0,free,outdoor,low,false,false,45,12,0.97,manual_seed,berlin_v2_gaps,"real_viewpoint_required"
berlin-berlin,BERLIN_NIGHTCLUB_REAL_1,nightlife,nightclub,"{nightclub}","{friends,party}","{friends,party}",,,,,,3,high,indoor,high,false,true,180,15,0.99,manual_seed,berlin_v2_gaps,"real_nightclub_required"
berlin-berlin,BERLIN_NIGHTCLUB_REAL_2,nightlife,nightclub,"{nightclub}","{friends,party}","{friends,party}",,,,,,3,high,indoor,high,false,true,180,14,0.98,manual_seed,berlin_v2_gaps,"real_nightclub_required"
berlin-berlin,BERLIN_DISCO_REAL_1,nightlife,nightclub,"{nightclub,disco}","{friends,party}","{friends,party}",,,,,,3,high,indoor,high,false,true,180,15,0.99,manual_seed,berlin_v2_gaps,"real_disco_required"
berlin-berlin,BERLIN_DISCO_REAL_2,nightlife,nightclub,"{nightclub,disco}","{friends,party}","{friends,party}",,,,,,3,high,indoor,high,false,true,180,14,0.98,manual_seed,berlin_v2_gaps,"real_disco_required"
hamburg-hamburg,HAMBURG_ZOO_REAL_1,activity,zoo,"{zoo}","{family,tourism}","{family,tourism}",,,,,,2,medium,outdoor,medium,true,false,150,15,0.99,manual_seed,hamburg_v2_gaps,"real_zoo_required"
hamburg-hamburg,HAMBURG_ZOO_REAL_2,activity,zoo,"{zoo}","{family,tourism}","{family,tourism}",,,,,,2,medium,outdoor,medium,true,false,150,14,0.98,manual_seed,hamburg_v2_gaps,"real_zoo_required"
hamburg-hamburg,HAMBURG_AQUARIUM_REAL_1,activity,aquarium,"{aquarium}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,120,15,0.99,manual_seed,hamburg_v2_gaps,"real_aquarium_required"
hamburg-hamburg,HAMBURG_AQUARIUM_REAL_2,activity,aquarium,"{aquarium}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,120,14,0.98,manual_seed,hamburg_v2_gaps,"real_aquarium_required"
hamburg-hamburg,HAMBURG_VIEWPOINT_REAL_1,culture,viewpoint,"{viewpoint,landmark}","{date,tourism}","{date,tourism}",,,,,,0,free,outdoor,low,false,false,45,13,0.98,manual_seed,hamburg_v2_gaps,"real_viewpoint_required"
hamburg-hamburg,HAMBURG_VIEWPOINT_REAL_2,culture,viewpoint,"{viewpoint,romantic_spot}","{date,tourism}","{date,tourism}",,,,,,0,free,outdoor,low,false,false,45,12,0.97,manual_seed,hamburg_v2_gaps,"real_viewpoint_required"
hamburg-hamburg,HAMBURG_VIEWPOINT_REAL_3,culture,viewpoint,"{viewpoint,romantic_spot,landmark}","{date,tourism}","{date,tourism}",,,,,,0,free,outdoor,low,false,false,45,12,0.97,manual_seed,hamburg_v2_gaps,"real_viewpoint_required"
hamburg-hamburg,HAMBURG_DISCO_REAL_1,nightlife,nightclub,"{nightclub,disco}","{friends,party}","{friends,party}",,,,,,3,high,indoor,high,false,true,180,15,0.99,manual_seed,hamburg_v2_gaps,"real_disco_required"
hamburg-hamburg,HAMBURG_DISCO_REAL_2,nightlife,nightclub,"{nightclub,disco}","{friends,party}","{friends,party}",,,,,,3,high,indoor,high,false,true,180,14,0.98,manual_seed,hamburg_v2_gaps,"real_disco_required"
